dataset_id,paper_title,paper_doi,paper_url,citation_text
Adler_2018_Expt1,Comparing Bayesian and non-Bayesian accounts of human confidence reports,https://doi.org/10.1371/journal.pcbi.1006572,,"WT Adler, WJ Ma. (2018). Comparing Bayesian and non-Bayesian accounts of human confidence reports. PLOS Computational Biology. 14(11): e1006572. https://doi.org/10.1371/journal. pcbi.1006572"
Adler_2018_Expt2,Comparing Bayesian and non-Bayesian accounts of human confidence reports,https://doi.org/10.1371/journal.pcbi.1006572,,"WT Adler, WJ Ma. (2018). Comparing Bayesian and non-Bayesian accounts of human confidence reports. PLOS Computational Biology. 14(11): e1006572. https://doi.org/10.1371/journal. pcbi.1006572"
Adler_2018_Expt3,Comparing Bayesian and non-Bayesian accounts of human confidence reports,https://doi.org/10.1371/journal.pcbi.1006572,,"WT Adler, WJ Ma. (2018). Comparing Bayesian and non-Bayesian accounts of human confidence reports. PLOS Computational Biology. 14(11): e1006572. https://doi.org/10.1371/journal. pcbi.1006572"
AguilarLleyda_2018,Confidence as a priority signal,,,"Aguilar-Lleyda, D., Lemarchand, M., & de Gardelle, V. (2018). Confidence as a priority signal. bioRxiv, 480350."
AguilarLleyda_unpub,,,,
Akdogan_2017_Exp1,Are you early or late?: Temporal error monitoring,https://doi.org/10.1037/xge0000265,,"Akdogan, B., & Balci, F. (2017). Are you early or late?: Temporal error monitoring. Journal of Experimental Psychology: General, 146(3), 347-361. http://dx.doi.org/10.1037/xge0000265"
Akdogan_2017_Exp2,Are you early or late?: Temporal error monitoring,https://doi.org/10.1037/xge0000265,,"Akdogan, B., & Balci, F. (2017). Are you early or late?: Temporal error monitoring. Journal of Experimental Psychology: General, 146(3), 347-361. http://dx.doi.org/10.1037/xge0000265"
Akdogan_2017_Exp3,Are you early or late?: Temporal error monitoring,https://doi.org/10.1037/xge0000265,,"Akdogan, B., & Balci, F. (2017). Are you early or late?: Temporal error monitoring. Journal of Experimental Psychology: General, 146(3), 347-361. http://dx.doi.org/10.1037/xge0000265"
Akdogan_2017_Exp4,Are you early or late?: Temporal error monitoring,https://doi.org/10.1037/xge0000265,,"Akdogan, B., & Balci, F. (2017). Are you early or late?: Temporal error monitoring. Journal of Experimental Psychology: General, 146(3), 347-361. http://dx.doi.org/10.1037/xge0000265"
Arbuzova_2021_expt1,,,,
Arbuzova_2021_expt2,,,,
Arbuzova_unpub_1,,,,
Arbuzova_unpub_2,,,,
Arbuzova_unpub_3,,,,
Bang_2019_Exp1,Sensory noise increases metacognitive efficiency,,,"Bang, J.W., Shekhar, M., & Rahnev, D. (2019). Sensory noise increases metacognitive efficiency. Journal of Experimental Psychology: General 148(3):437-452."
Bang_2019_Exp2,Sensory noise increases metacognitive efficiency,,,"Bang, J.W., Shekhar, M., & Rahnev, D. (2019). Sensory noise increases metacognitive efficiency. Journal of Experimental Psychology: General 148(3):437-452."
Bocheva_unpub_Expt1,Switching the motor response weakens confidence serial dependence,https://doi.org/10.31234/osf.io/3d5ge_v2,,"Bocheva, M., & Rahnev, D. (2025). Switching the motor response weakens confidence serial dependence. OSF. https://doi.org/10.31234/osf.io/3d5ge_v2"
Bocheva_unpub_Expt2,Switching the motor response weakens confidence serial dependence,https://doi.org/10.31234/osf.io/3d5ge_v2,,"Bocheva, M., & Rahnev, D. (2025). Switching the motor response weakens confidence serial dependence. OSF. https://doi.org/10.31234/osf.io/3d5ge_v2"
CalderTravis_unpub,Bayesian confidence in optimal decisions,https://doi.org/10.31234/osf.io/j8sxz,,"Calder-Travis, J. M., Charles, L., Bogacz, R., & Yeung, N. (2020). Bayesian confidence in optimal decisions. PsyArXiv. https://doi.org/10.31234/osf.io/j8sxz"
Chandravadia_2020,A NWB-based dataset and processing pipeline of human single-neuron activity during a declarative memory task,,https://github.com/rutishauserlab/recogmem-release-NWB,"N. Chandravadia, D. Liang, A. G.P. Schjetnan, A. Carlson, M. Faraut, J.M. Chung, C.M. Reed, B. Dichter, U. Maoz, S. Kalia, T. Valiante, A. N. Mamelak, and U. Rutishauser. A NWB-based dataset and processing pipeline of human single-neuron activity during a declarative memory task. Scientific Data 7, 1-12 (2020)."
Charalampaki_unpub_1,,,,
Chetverikov_2014_exp3,How to tell a wife from a hat: Affective feedback in perceptual categorization,https://doi.org/10.1016/j.actpsy.2014.06.012,,"Chetverikov, A., & Filippova, M. (2014, Exp. 3). How to tell a wife from a hat: Affective feedback in perceptual categorization. Acta Psychologica, 151, 206–213. doi:10.1016/j.actpsy.2014.06.012"
Chetverikov_2014_exp4,How to tell a wife from a hat: Affective feedback in perceptual categorization,https://doi.org/10.1016/j.actpsy.2014.06.012,,"Chetverikov, A., & Filippova, M. (2014, Exp. 4). How to tell a wife from a hat: Affective feedback in perceptual categorization. Acta Psychologica, 151, 206–213. doi:10.1016/j.actpsy.2014.06.012"
Clark_2018,"'When uncertain, does human self-motion decision-making fully utilize complete information' J Neurophysiol 119: 1485-1496, 2018, doi: 10.1152/jn.00680.2017",https://doi.org/10.1152/jn.00680.2017,,"Clark, T.K., Yi, Y., Galvan-Garza, R.C., Bermudez-Rey, M.C., Merfeld, D.M. 'When uncertain, does human self-motion decision-making fully utilize complete information' J Neurophysiol 119: 1485-1496, 2018, doi: 10.1152/jn.00680.2017."
Clark_unpub,,,,
Constant_2022,,,,
Constant_unpub_1,,,https://www.biorxiv.org/content/10.1101/2021.04.28.441761v2.full.pdf+html,
Denison_2018,Humans incorporate attention-dependent uncertainty into perceptual decisions and confidence,https://doi.org/10.1073/pnas.1717720115,,"RN Denison, WT Adler, M Carrasco, WJ Ma. (2018). Humans incorporate attention-dependent uncertainty into perceptual decisions and confidence. PNAS. 115(43), 11090-11095. www.pnas.org/cgi/doi/10.1073/pnas.1717720115"
